gene_id	product	subfamily	Cold_LFC	Cold_padj	Heat_LFC	Heat_padj	Drought_869_LFC	Drought_869_padj	Salt_NaCl_LFC	Salt_NaCl_padj	Rehydration_LFC	Rehydration_padj	Drought_7d_LFC	Drought_7d_padj	Drought_14d_LFC	Drought_14d_padj	Drought_21d_LFC	Drought_21d_padj	PEG_72h_LFC	PEG_72h_padj	Flooding_LFC	Flooding_padj	Sclerotinia_LFC	Sclerotinia_padj	Orobanche_A_LFC	Orobanche_A_padj	Orobanche_B_LFC	Orobanche_B_padj	Orobanche_C_LFC	Orobanche_C_padj	Orobanche_D_LFC	Orobanche_D_padj	Orobanche_E_LFC	Orobanche_E_padj
LOC110864409	aquaporin PIP1-1	PIP	1.83726	0.00028665	-0.0903769	0.714598	-0.113214	0.960566	0.363975	0.114413	0.0906308	0.9783	-0.384681	0.150223	-0.620042	0.00911252	-0.6691	0.0114114	-0.633171	4.59109e-05	-0.011723	0.957864	0.551922	0.00104659	-0.161495	0.73081	-0.354766	0.184839	-0.290639	0.27717	-0.400379	0.112541	-1.01165	3.75349e-06
LOC110872387	probable aquaporin NIP5-1	NIP	1.26489	0.05179	0.387888	0.576375	0.37872	0.651575	-0.377489	0.219042	-0.617335	0.421367	-1.28236	0.0326821	-1.11874	0.052561	-0.638747	0.393652	0.328793	0.321474	0.226473	0.131169	0.968443	0.0451131	-0.821839	0.00241168	-0.416167	0.141212	0.323453	0.255978	0.344351	0.221604	-0.265901	0.370993
LOC110865440	probable aquaporin SIP2-1	SIP	-1.21537	0.122514	0.751574	0.13684	0.307346	0.911688	-0.165202	0.893292	0.35592	0.896024	-0.171621	0.778303	-0.605634	0.203462	0.32656	0.602667	-0.595229	0.140982	-0.0737962	0.756211	-0.335351	0.55565	0.303596	0.802491	0.143172	0.875668	0.175049	0.83014	0.826607	0.159018	0.636287	0.313091
LOC110868194	probable aquaporin NIP-type	NIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC110868195	probable aquaporin NIP-type	NIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.723436	NA	-1.19036	NA	0.30012	NA	NA	NA	0.391078	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LOC110889695	probable aquaporin PIP2-5	PIP	1.05614	0.131378	-0.186623	0.802873	-0.0823739	0.984015	-1.15519	0.00187779	0.363751	0.787866	-1.10366	0.141308	-3.14508	2.38352e-06	-0.295143	0.783666	-1.24289	4.23489e-05	0.170775	0.502705	0.356537	0.474184	-0.822754	0.259444	-0.821055	0.158432	-1.43679	0.00653118	-0.555322	0.357489	-1.51112	0.00266731
LOC110866810	aquaporin PIP2-4	PIP	0.652081	0.444034	2.15847	0.00423243	-0.728739	0.747119	-0.200486	0.903965	0.205202	0.980974	1.84993	0.0569582	1.79289	0.0494956	-0.748396	0.574478	NA	NA	-0.0162844	0.986929	4.61644	0.00144717	-0.818095	NA	-1.81525	NA	-0.180356	NA	-0.107771	NA	-0.0805982	NA
LOC110868334	aquaporin PIP2-1	PIP	2.67009	0.000218469	-1.75505	0.262485	1.73617	0.716232	-2.77374	8.98832e-09	-1.68746	0.556655	-1.43122	0.00239033	-0.549802	0.272625	-2.29221	1.4645e-06	1.30124	0.124744	-0.51946	0.0796521	2.12451	0.000251752	0.470546	0.725099	-3.918	3.07044e-10	1.24852	0.0830704	0.257199	0.792297	-1.34416	0.0539
LOC110868335	aquaporin PIP2-4	PIP	2.388	2.01648e-05	-2.05414	0.168786	0.155254	0.992386	-3.66642	3.56259e-05	-0.327145	NA	-1.89128	0.014498	-2.80583	9.20421e-05	-2.60066	0.000956079	NA	NA	-0.365917	0.688934	0.552377	0.341744	0.49619	0.759251	-4.06407	8.79101e-07	1.0323	0.241509	0.672458	0.48444	-2.03722	0.0108795
LOC110868323	probable aquaporin PIP2-4	PIP	-2.77911	0.00661379	-0.371196	0.829992	NA	NA	-3.95146	0.0660974	NA	NA	-0.488473	NA	0.443344	NA	-0.410195	NA	0.1153	0.907407	-0.222324	NA	-4.176	0.0103657	1.44921	0.313339	0.518508	0.724941	2.07721	0.0406411	0.789519	0.528514	-0.060453	0.973048
LOC110868318	probable aquaporin PIP2-4	PIP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.19996	NA	1.67559	NA	1.88283	NA	-0.558661	NA	0.0944164	NA
LOC110868317	aquaporin PIP2-4	PIP	3.70496	0.000364791	-1.01579	NA	NA	NA	-3.15529	0.0163933	NA	NA	-0.662528	0.247651	-1.0043	0.0474346	-1.95821	0.000202195	-0.00274758	0.997616	-0.25084	0.356254	0.353801	0.749422	0.770889	0.616092	-1.28555	0.203108	1.50042	0.101227	0.803562	0.434663	-1.43144	0.133509
LOC110868358	aquaporin PIP2-4	PIP	2.33741	1.93626e-07	-0.528979	0.742172	1.05694	0.828031	-3.33186	7.79674e-26	-1.19828	0.135334	-1.46234	0.00798366	-3.36178	3.23341e-11	-2.81536	2.3669e-07	1.16927	0.106899	-0.217666	0.413318	1.01097	0.102199	0.758385	0.428547	-1.24757	0.0606121	0.358802	0.65746	0.089622	0.928698	-0.828205	0.227334
