gene_id	module_number	module_color	gene_name	subfamily	kME_assigned	drought.GS_drought	cold.GS_cold	salt.GS_salt	heat.GS_heat
LOC110864409	1	turquoise	aquaporin PIP1-3, transcript variant X2	PIP	0.482861911131887	0.0483343913397858	-0.739882699022002	-0.0722936552737986	0.321785763084017
LOC110865440	1	turquoise	probable aquaporin SIP2-1	SIP	0.64972613403809	0.441955208090953	-0.285603675470727	-0.0111169748923896	-0.0860617718561078
LOC110866810	5	green	aquaporin PIP2-4	PIP	0.617493683267136	-0.0937137150247067	0.0516880585036806	-0.309546433011503	0.413835257576577
LOC110868317	0	grey	aquaporin PIP2-4	PIP	0.288420143551265	-0.202458616818754	0.170450662137554	-0.0186930554930584	-0.202927772641834
LOC110868318	0	grey	probable aquaporin PIP2-4	PIP	-0.00377413073071399	-0.198820757902839	0.0798251050235541	0.0421363443302251	0.187626846505686
LOC110868323	2	blue	probable aquaporin PIP2-4	PIP	0.658946660925475	-0.526409773407486	0.6086756488744	-0.033052777798949	0.114564265400494
LOC110868334	10	purple	aquaporin PIP2-1	PIP	0.58660866822733	-0.366120344713848	0.494036649327342	-0.242572000221467	0.0515183773991882
LOC110868335	2	blue	aquaporin PIP2-4	PIP	0.705814794785511	-0.302533351567989	0.567377808719821	-0.190089638574635	-0.0740952010327485
LOC110868358	13	salmon	aquaporin PIP2-4	PIP	0.791293996343943	-0.309961297744186	0.333274870868047	-0.174174414026177	-0.0252557736713203
LOC110868884	1	turquoise	probable aquaporin PIP2-5	PIP	0.845684202137073	0.54104746121731	-0.377165601245106	-0.46724606156269	0.306873166116101
LOC110868941	10	purple	probable aquaporin PIP1-4	PIP	0.660999038415524	-0.2293177928889	0.336500691384122	-0.492936228731961	0.228051467059228
LOC110872387	9	magenta	probable aquaporin NIP5-1	NIP	0.699147306787626	-0.162190458482753	0.145286701522006	0.57055554365103	-0.546428237133906
LOC110872551	0	grey	aquaporin TIP1-3	TIP	-0.128184158140322	-0.0391195326498561	-0.227015662412738	-0.170111953092599	0.313695087890402
LOC110875557	5	green	aquaporin PIP2-2	PIP	0.77818599766968	-0.622870374776922	0.116395840627297	-0.150096937095272	0.714333010679989
LOC110875737	1	turquoise	probable aquaporin TIP1-1	TIP	0.899805166532254	0.558432517863084	-0.565391094830588	-0.0963137997165058	0.148831172291685
LOC110878958	18	lightgreen	aquaporin SIP1-1	SIP	0.853931182470844	-0.279460346290296	0.685360640174703	-0.490467783671734	0.239477064646116
LOC110889695	4	yellow	probable aquaporin PIP2-5	PIP	0.908628601070987	0.777267588297582	-0.151696476026928	-0.148973326946308	-0.46224451328584
LOC110890906	15	midnightblue	aquaporin PIP2-7, transcript variant X1	PIP	0.738671947237993	0.382743347901321	0.0771679403606348	-0.48154093639324	0.263136244422104
LOC110891299	7	black	aquaporin TIP1-1	TIP	0.586189584598803	0.217415215839465	0.532151397934688	-0.259735994423476	-0.0614189837932923
LOC110894830	9	magenta	aquaporin PIP2-1	PIP	0.702162321821747	-0.0514841619163111	-0.0350299485529132	0.855658322722644	-0.54859290125712
LOC110895309	1	turquoise	probable aquaporin PIP2-8	PIP	0.797158626539299	0.393078598979339	-0.495417275833967	-0.0428023442347012	0.188782969212794
LOC110896719	0	grey	probable aquaporin TIP1-2	TIP	0.275588325659071	0.265694547778449	-0.237669229943371	0.415469296220525	-0.372272210410133
LOC110897890	14	cyan	aquaporin PIP1-3	PIP	0.898718974061158	0.166793961809264	-0.220416946384218	-0.554671711514231	0.578821333078885
LOC110898014	12	tan	aquaporin TIP1-1	TIP	0.923056039529901	0.733005490475247	0.0707865037850812	-0.563423952406237	-0.134923036688617
LOC110899589	0	grey	aquaporin PIP1-3	PIP	-0.0949523483535719	0.192344557581009	-0.203542539092758	-0.134399190855737	0.0127745438412944
LOC110899592	1	turquoise	aquaporin PIP1-3	PIP	0.591289693118532	0.354688188624999	-0.368347887358723	0.0587506118868539	0.0566527633213412
LOC110899653	0	grey	probable aquaporin TIP-type RB7-5A	TIP	-0.130537027421191	-0.277437507852305	-0.00551805126603593	-0.183031965476917	0.409397657376295
LOC110899654	0	grey	probable aquaporin TIP-type RB7-5A	TIP	-0.0911756737092442	-0.123154558679341	0.296969718169377	-0.321920744239162	0.144389920180571
LOC110899655	7	black	probable aquaporin TIP-type	TIP	0.51199611686647	-0.158315933845579	0.418692708733273	-0.249491462877722	0.0858949006839326
LOC110899667	0	grey	probable aquaporin TIP-type RB7-5A	TIP	-0.0487853813920691	-0.253610527242811	0.0674520899639582	-0.0369668856756524	0.334474136348507
LOC110904303	1	turquoise	aquaporin PIP2-2	PIP	0.571285847503673	0.1787202426717	-0.510235110045654	-0.293092673518956	0.368732863293387
LOC110904450	17	grey60	probable aquaporin PIP2-4	PIP	0.760807109317942	-0.128369278068438	0.474506413523364	-0.375249812214546	0.0759948934781775
LOC110904451	17	grey60	probable aquaporin PIP2-4	PIP	0.765785104397734	-0.0323287538398399	0.464575527929103	-0.482289759013455	0.121948831635566
LOC110904457	10	purple	probable aquaporin PIP2-4	PIP	0.816545896816883	-0.291773210827121	0.254946465448522	-0.601321371153974	0.567300137628139
LOC110904925	17	grey60	probable aquaporin PIP1-4	PIP	0.68278797135084	-0.0461974389633213	0.208437282651506	-0.321556389311103	0.120434913679073
LOC110905693	0	grey	probable aquaporin NIP-type	NIP	0.480991810071719	-0.265154416972553	0.07136239878075	0.444017187583937	-0.280353730173553
LOC110906290	3	brown	probable aquaporin TIP5-1	TIP	0.651590986973974	-0.258406618173869	-0.31898993382456	0.0906288286350697	0.485781598959658
LOC110906934	0	grey	aquaporin PIP2-1	PIP	0.10890653663566	0.367336525558944	-0.175518442419758	-0.084927813986388	-0.27812921702534
LOC110908794	1	turquoise	aquaporin PIP2-2	PIP	0.759145223632943	0.50273537360565	-0.570860764702461	-0.125689536314722	-0.0372920853762219
LOC110908807	0	grey	aquaporin PIP2-2-like	PIP	-0.433528327381288	0.169632914362467	-0.232240571773234	-0.37563874143994	0.289147517296285
LOC110911761	19	lightyellow	aquaporin NIP1-1	NIP	0.782993106063492	0.191472493279741	0.25629644535127	-0.199578277737202	-0.115360827537024
LOC110914202	0	grey	nodulin-26	unknown	-0.284502596870666	0.0253147121144666	-0.159040956671595	-0.120855401850973	0.243947222329178
LOC110916097	0	grey	probable aquaporin TIP-type	TIP	-0.285258701408734	0.31417272938376	-0.187873083304647	-0.445740032408185	0.00620270609132318
LOC110921506	0	grey	probable aquaporin NIP5-1	NIP	0.18617151674392	0.0600364933256468	0.113790334944543	0.133567840891322	-0.311131269356696
LOC110923014	0	grey	aquaporin PIP1-3	PIP	-0.105710111367792	-0.123744772195269	0.136748419334095	0.113929072822941	0.280100192637626
LOC110925968	15	midnightblue	aquaporin PIP2-7	PIP	0.92026836086649	0.464923876943268	0.123430306659618	-0.565461307018292	0.203163993812206
LOC110926365	0	grey	probable aquaporin NIP5-1	NIP	0.0939177684216021	-0.0294746752191101	-0.14372634992308	0.172573336788832	0.0343756325164435
LOC110927047	7	black	aquaporin TIP1-1	TIP	0.568309627287601	-0.0795278745554845	0.616603526618027	-0.419607380309609	0.273955022471573
LOC110930503	9	magenta	aquaporin PIP1-3	PIP	0.617299547477591	-0.199590160850658	-0.196654179245458	0.458179401955849	-0.0188901992047641
LOC110930648	0	grey	probable aquaporin TIP-type	TIP	-0.257074742061907	-0.0957045226033089	0.236417456782561	-0.421782107419212	0.287657673619085
