sample_id	project	condition	tissue	genotype	age	control
SRR21049881	PRJNA869183	heat_4h	leaf	seedling		no
SRR21049882	PRJNA869183	heat_4h	leaf	seedling		no
SRR21049883	PRJNA869183	heat_4h	leaf	seedling		no
SRR21049884	PRJNA869183	heat_0h	leaf	seedling		yes
SRR21049885	PRJNA869183	heat_0h	leaf	seedling		yes
SRR21049886	PRJNA869183	heat_0h	leaf	seedling		yes
SRR21049887	PRJNA869183	drought_water_deficit	leaf	seedling		no
SRR21049888	PRJNA869183	drought_water_deficit	leaf	seedling		no
SRR21049889	PRJNA869183	drought_normal	leaf	seedling		yes
SRR21049890	PRJNA869183	drought_normal	leaf	seedling		yes
SRR22540857	PRJNA908908	sclerotinia	leaf	C6_DR		no
SRR22540858	PRJNA908908	sclerotinia	leaf	C6_DR		no
SRR22540859	PRJNA908908	sclerotinia	leaf	C6_DR		no
SRR22540860	PRJNA908908	control	leaf	C6_DR		yes
SRR22540861	PRJNA908908	control	leaf	C6_DR		yes
SRR22540862	PRJNA908908	control	leaf	C6_DR		yes
SRR22540863	PRJNA908908	sclerotinia	leaf	B728_DS		no
SRR22540864	PRJNA908908	sclerotinia	leaf	B728_DS		no
SRR22540865	PRJNA908908	sclerotinia	leaf	B728_DS		no
SRR22540866	PRJNA908908	control	leaf	B728_DS		yes
SRR22540867	PRJNA908908	control	leaf	B728_DS		yes
SRR22540868	PRJNA908908	control	leaf	B728_DS		yes
SRR26867805	PRJNA1041959	drought_PEG_72h	leaf	K55		no
SRR26867806	PRJNA1041959	control	leaf	K55		yes
SRR26867807	PRJNA1041959	control	leaf	K55		yes
SRR26867808	PRJNA1041959	control	leaf	K55		yes
SRR26867809	PRJNA1041959	drought_PEG_72h	leaf	K58		no
SRR26867810	PRJNA1041959	drought_PEG_72h	leaf	K58		no
SRR26867811	PRJNA1041959	drought_PEG_72h	leaf	K58		no
SRR26867812	PRJNA1041959	drought_PEG_72h	root	K55		no
SRR26867813	PRJNA1041959	drought_PEG_72h	root	K55		no
SRR26867814	PRJNA1041959	drought_PEG_72h	root	K55		no
SRR26867815	PRJNA1041959	control	root	K55		yes
SRR26867816	PRJNA1041959	control	leaf	K58		yes
SRR26867817	PRJNA1041959	control	root	K55		yes
SRR26867818	PRJNA1041959	control	root	K55		yes
SRR26867819	PRJNA1041959	drought_PEG_72h	root	K58		no
SRR26867820	PRJNA1041959	drought_PEG_72h	root	K58		no
SRR26867821	PRJNA1041959	drought_PEG_72h	root	K58		no
SRR26867822	PRJNA1041959	control	root	K58		yes
SRR26867823	PRJNA1041959	control	root	K58		yes
SRR26867824	PRJNA1041959	control	root	K58		yes
SRR26867825	PRJNA1041959	drought_PEG_72h	leaf	K55		no
SRR26867826	PRJNA1041959	drought_PEG_72h	leaf	K55		no
SRR26867827	PRJNA1041959	control	leaf	K58		yes
SRR26867828	PRJNA1041959	control	leaf	K58		yes
SRR7882951	PRJNA492303	control	leaf	RHA428	d16	yes
SRR7882950	PRJNA492303	control	leaf	RHA428	d16	yes
SRR7882952	PRJNA492303	control	leaf	RHA428	d16	yes
SRR7882953	PRJNA492303	control	leaf	RHA428	d16	yes
SRR7882954	PRJNA492303	control	leaf	RHA428	d24	yes
