ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	contrast	ontology
GO:0005976	polysaccharide metabolic process	95/2373	277/11210	2.17067959187589e-07	3.81250270136747e-05	3.30275650821307e-05	AT2G45220/AT5G13870/AT3G05620/AT5G49720/AT1G05850/AT5G20950/AT3G47000/AT5G60920/AT1G32170/AT5G53370/AT5G51830/AT5G04360/AT5G63180/AT1G68560/AT5G09760/AT4G24780/AT5G63470/AT1G02730/AT2G36870/AT5G22940/AT4G24910/AT4G14130/AT5G04310/AT4G13710/AT3G50760/AT1G58370/AT2G28315/AT5G15630/AT4G10260/AT3G14310/AT2G37090/AT4G02320/AT1G02640/AT2G38320/AT5G64570/AT1G51630/AT5G65730/AT5G04885/AT5G67210/AT5G54690/AT4G20460/AT2G06850/AT1G23200/AT1G05310/AT1G70090/AT1G67750/AT1G73140/AT3G26610/AT5G49360/AT3G53190/AT5G01360/AT4G23990/AT1G64440/AT5G51490/AT1G10670/AT1G79500/AT2G28110/AT3G55990/AT3G55800/AT5G06610/AT5G15740/AT4G03210/AT5G51500/AT2G39770/AT2G32540/AT5G62880/AT5G47500/AT5G48300/AT1G14720/AT1G78060/AT2G40320/AT3G03050/AT2G41850/AT3G57510/AT3G29320/AT4G15210/AT3G24130/AT1G16860/AT1G09610/AT2G14620/AT4G39210/AT3G22190/AT4G24000/AT1G33800/AT5G15490/AT3G18660/AT4G02280/AT4G18780/AT2G32530/AT4G25810/AT5G17420/AT1G42430/AT1G27680/AT1G19300/AT1G11545	95	1041:PEG	BP
GO:0009611	response to wounding	61/2373	157/11210	2.85327820450915e-07	4.36744975127826e-05	3.78350501500078e-05	AT1G32640/AT1G19180/AT5G13220/AT1G09340/AT4G20140/AT5G59820/AT1G76650/AT2G30020/AT3G48520/AT5G05730/AT4G08500/AT2G26690/AT2G32800/AT5G09810/AT5G13930/AT1G01720/AT5G42650/AT3G48360/AT1G80840/AT3G12500/AT1G72520/AT2G20340/AT1G27730/AT5G46050/AT5G50200/AT1G76690/AT3G54420/AT5G47910/AT4G10390/AT1G78080/AT5G48150/AT1G17840/AT1G55020/AT3G25230/AT2G27690/AT1G20510/AT3G24550/AT4G11280/AT3G45140/AT4G17980/AT2G21970/AT2G02220/AT4G24220/AT5G24090/AT1G73080/AT1G05200/AT4G35770/AT4G21440/AT1G01470/AT1G01140/AT1G73260/AT1G51400/AT2G37040/AT2G24210/AT5G18860/AT4G22880/AT3G14840/AT3G61060/AT3G51420/AT2G44810/AT2G28900	61	1041:PEG	BP
GO:0071495	cellular response to endogenous stimulus	145/2373	470/11210	3.23550087110706e-07	4.36744975127826e-05	3.78350501500078e-05	AT3G61460/AT1G32640/AT1G19180/AT1G31770/AT5G13220/AT4G08850/AT1G15380/AT1G73590/AT5G20480/AT1G74670/AT1G64625/AT3G16360/AT4G35790/AT4G25420/AT3G56380/AT1G20930/AT2G33580/AT2G30020/AT1G62660/AT1G69270/AT3G07520/AT2G20180/AT1G35710/AT1G69160/AT1G71020/AT5G13790/AT4G33950/AT2G38310/AT2G29120/AT1G28480/AT5G62470/AT5G63470/AT4G34410/AT3G51550/AT2G36830/AT2G01950/AT3G49260/AT5G57050/AT4G31550/AT2G32800/AT4G30410/AT5G26920/AT3G56400/AT5G44120/AT2G17800/AT5G10520/AT5G66350/AT2G23770/AT1G01720/AT1G75080/AT5G25900/AT1G75500/AT4G35290/AT3G48360/AT5G50915/AT3G12500/AT1G15360/AT4G02780/AT3G63060/AT3G63010/AT2G47000/AT3G51670/AT1G09530/AT1G10930/AT1G15520/AT2G03440/AT3G52430/AT1G14920/AT5G54380/AT1G71830/AT4G02450/AT3G12090/AT3G17980/AT2G41370/AT1G78080/AT5G04010/AT5G54510/AT3G03450/AT3G53480/AT4G24210/AT3G11820/AT4G23810/AT2G36910/AT3G15210/AT3G15730/AT4G30610/AT1G12820/AT3G46290/AT1G69260/AT1G78700/AT3G45600/AT4G09160/AT5G11260/AT5G25190/AT4G17980/AT5G47220/AT2G27300/AT2G46680/AT4G37790/AT2G40670/AT3G48100/AT3G26744/AT5G17300/AT3G27810/AT1G63500/AT1G05200/AT5G63310/AT2G44840/AT5G62880/AT1G79460/AT4G34220/AT1G12240/AT5G13170/AT1G68360/AT4G20940/AT2G40330/AT1G63260/AT2G42580/AT1G18390/AT1G53300/AT5G48170/AT4G26150/AT3G24500/AT4G33430/AT1G34210/AT4G39400/AT3G16770/AT3G23150/AT5G49470/AT3G46110/AT1G01360/AT4G00220/AT4G37260/AT2G38240/AT3G46550/AT5G59010/AT1G78300/AT5G20720/AT1G56010/AT2G40940/AT5G65670/AT1G70940/AT5G13530/AT3G22810/AT1G24625	145	1041:PEG	BP
GO:0009617	response to bacterium	103/2373	309/11210	3.30110865087929e-07	4.36744975127826e-05	3.78350501500078e-05	AT5G02500/AT1G19180/AT2G45220/AT1G31770/AT2G42260/AT3G54560/AT3G01300/AT5G20480/AT5G46330/AT4G37990/AT3G50930/AT4G24670/AT3G11340/AT1G62660/AT2G38470/AT3G18260/AT5G10530/AT4G33950/AT3G09830/AT5G05730/AT5G24660/AT4G39090/AT5G48380/AT4G31550/AT2G32800/AT5G26920/AT3G56400/AT5G66210/AT2G37630/AT4G36280/AT3G08510/AT2G23770/AT4G31500/AT1G80840/AT1G72520/AT3G14310/AT3G22600/AT3G12620/AT4G23160/AT5G46050/AT3G12580/AT2G29630/AT5G52830/AT2G03440/AT3G52430/AT3G54420/AT3G14130/AT1G18670/AT3G28450/AT4G14465/AT3G17980/AT2G41370/AT5G55830/AT5G24530/AT1G55020/AT4G23810/AT3G53380/AT3G15210/AT5G39670/AT1G20510/AT1G70260/AT5G67385/AT5G10380/AT4G04960/AT1G02205/AT2G39050/AT1G33970/AT3G45140/AT5G47220/AT1G08060/AT2G27040/AT5G03760/AT5G52640/AT5G49520/AT4G20260/AT1G13960/AT1G19250/AT1G24100/AT4G18760/AT5G40770/AT3G28910/AT2G39770/AT5G24590/AT5G66850/AT4G18360/AT4G33300/AT3G10260/AT1G12240/AT3G61560/AT4G11650/AT5G15080/AT1G73260/AT4G33430/AT4G18780/AT2G05940/AT2G26330/AT4G30440/AT2G25110/AT3G48090/AT5G54310/AT4G26850/AT4G05200/AT2G20890	103	1041:PEG	BP
GO:0010817	regulation of hormone levels	64/2373	168/11210	3.39087713608561e-07	4.36744975127826e-05	3.78350501500078e-05	AT1G31770/AT4G31820/AT5G14090/AT1G48410/AT5G06300/AT1G73590/AT2G37210/AT4G24670/AT1G69160/AT5G05730/AT5G54160/AT1G14130/AT1G44350/AT5G13930/AT3G08510/AT4G37750/AT1G75500/AT4G31500/AT4G33090/AT2G23260/AT3G19820/AT3G63110/AT1G48910/AT2G47000/AT3G51670/AT1G17140/AT3G13730/AT1G76520/AT4G02450/AT3G15380/AT3G53480/AT2G36910/AT4G13260/AT2G26710/AT1G50430/AT5G14400/AT4G09160/AT2G38120/AT2G44990/AT5G25620/AT3G02580/AT4G37650/AT3G05290/AT5G38970/AT2G03760/AT5G17300/AT3G28860/AT4G35160/AT5G05690/AT1G13580/AT1G68710/AT1G68460/AT1G80360/AT5G54140/AT3G30180/AT5G14420/AT5G56970/AT5G21482/AT1G73340/AT1G75450/AT3G46110/AT5G43270/AT4G35190/AT1G70940	64	1041:PEG	BP
GO:0042546	cell wall biogenesis	66/2373	176/11210	4.37944204532035e-07	5.20424878740947e-05	4.50842081942958e-05	AT2G46770/AT1G32640/AT5G13870/AT2G38080/AT4G20170/AT5G20950/AT5G60920/AT1G07410/AT1G32170/AT1G12260/AT2G44745/AT1G02730/AT2G36870/AT5G22940/AT1G79620/AT4G24910/AT5G16490/AT4G14130/AT3G02230/AT5G15630/AT1G75500/AT2G37090/AT2G36570/AT3G19820/AT2G38320/AT5G03170/AT1G51630/AT5G65730/AT5G04885/AT5G67210/AT5G54690/AT2G06850/AT1G73140/AT2G04780/AT1G78580/AT5G01360/AT4G23990/AT1G64440/AT1G79500/AT2G28110/AT3G55990/AT5G06610/AT5G65270/AT4G03210/AT2G39770/AT2G32540/AT5G62880/AT1G14720/AT5G19390/AT2G40320/AT2G20520/AT3G03050/AT3G08500/AT1G09610/AT2G14620/AT4G24000/AT1G33800/AT3G18660/AT4G18780/AT4G28500/AT2G32530/AT4G25810/AT5G17420/AT1G66810/AT1G19300/AT1G11545	66	1041:PEG	BP
GO:0032870	cellular response to hormone stimulus	139/2373	449/11210	4.57930793923193e-07	5.20424878740947e-05	4.50842081942958e-05	AT3G61460/AT1G32640/AT1G19180/AT1G31770/AT5G13220/AT4G08850/AT1G15380/AT1G73590/AT5G20480/AT1G74670/AT1G64625/AT3G16360/AT4G35790/AT4G25420/AT3G56380/AT1G20930/AT2G30020/AT1G62660/AT1G69270/AT2G20180/AT1G35710/AT1G69160/AT1G71020/AT5G13790/AT4G33950/AT2G38310/AT1G28480/AT5G62470/AT5G63470/AT4G34410/AT3G51550/AT2G36830/AT2G01950/AT3G49260/AT5G57050/AT4G31550/AT2G32800/AT4G30410/AT5G26920/AT3G56400/AT5G44120/AT2G17800/AT5G10520/AT5G66350/AT1G01720/AT1G75080/AT5G25900/AT1G75500/AT3G48360/AT5G50915/AT3G12500/AT1G15360/AT4G02780/AT3G63060/AT3G63010/AT2G47000/AT3G51670/AT1G09530/AT1G10930/AT1G15520/AT2G03440/AT3G52430/AT1G14920/AT5G54380/AT1G71830/AT4G02450/AT3G12090/AT3G17980/AT2G41370/AT1G78080/AT5G04010/AT5G54510/AT3G03450/AT3G53480/AT4G24210/AT3G11820/AT4G23810/AT2G36910/AT3G15210/AT3G15730/AT4G30610/AT1G12820/AT3G46290/AT1G69260/AT1G78700/AT3G45600/AT4G09160/AT5G11260/AT5G25190/AT4G17980/AT5G47220/AT2G27300/AT2G46680/AT4G37790/AT2G40670/AT3G48100/AT3G26744/AT5G17300/AT3G27810/AT1G63500/AT5G63310/AT2G44840/AT5G62880/AT1G79460/AT4G34220/AT1G12240/AT5G13170/AT1G68360/AT4G20940/AT2G40330/AT1G63260/AT2G42580/AT1G18390/AT1G53300/AT5G48170/AT4G26150/AT3G24500/AT4G33430/AT1G34210/AT4G39400/AT3G16770/AT3G23150/AT5G49470/AT3G46110/AT1G01360/AT4G00220/AT4G37260/AT2G38240/AT3G46550/AT5G59010/AT1G78300/AT5G20720/AT1G56010/AT2G40940/AT5G65670/AT1G70940/AT5G13530/AT3G22810/AT1G24625	139	1041:PEG	BP
GO:0007018	microtubule-based movement	26/2373	48/11210	5.12056234585728e-07	5.49607025122015e-05	4.76122463737607e-05	AT2G36200/AT1G55550/AT3G54870/AT5G27550/AT2G37420/AT3G10310/AT1G72250/AT1G63640/AT3G20150/AT5G54670/AT5G66310/AT5G23910/AT2G22610/AT2G47500/AT3G19050/AT4G39050/AT5G02370/AT1G18550/AT1G18370/AT4G14330/AT3G45850/AT4G21270/AT3G44050/AT3G17360/AT5G60930/AT1G59540	26	1041:PEG	BP
GO:0010035	response to inorganic substance	144/2373	472/11210	7.31597185694907e-07	7.43918822506611e-05	6.44454030612134e-05	AT4G22790/AT1G32640/AT4G24020/AT1G31770/AT1G70520/AT3G51860/AT1G09340/AT1G05850/AT3G50980/AT5G53550/AT4G15680/AT3G56240/AT1G53540/AT5G17920/AT2G26650/AT3G54770/AT3G22490/AT1G62660/AT2G38470/AT5G24030/AT1G69270/AT1G22990/AT1G68560/AT4G33950/AT4G36020/AT1G56600/AT4G39090/AT5G62470/AT1G02730/AT5G60770/AT5G38990/AT3G49260/AT1G70170/AT4G08500/AT5G57050/AT2G21620/AT5G26920/AT3G56400/AT3G51380/AT3G48360/AT1G16060/AT2G35930/AT1G72520/AT1G15360/AT5G25610/AT4G10250/AT4G28610/AT1G27730/AT3G63060/AT1G78380/AT4G14880/AT5G50200/AT1G13440/AT1G58440/AT2G41870/AT1G15520/AT2G26530/AT5G65730/AT4G27410/AT1G78080/AT1G52340/AT1G78850/AT3G05500/AT1G08090/AT2G28160/AT5G06530/AT4G23810/AT5G39000/AT1G12820/AT5G24270/AT4G35090/AT3G04120/AT5G48100/AT2G29130/AT1G13740/AT1G70670/AT5G27600/AT5G37670/AT1G02205/AT4G00430/AT3G06590/AT5G22890/AT3G45140/AT5G40010/AT3G13610/AT2G26150/AT1G64670/AT3G23250/AT3G12490/AT2G46680/AT4G37790/AT5G14570/AT5G25620/AT3G10985/AT5G24090/AT2G37170/AT4G20260/AT1G02820/AT5G53210/AT5G63160/AT2G14610/AT5G40770/AT3G14440/AT2G39770/AT3G14110/AT1G57720/AT5G63310/AT1G62400/AT3G21670/AT1G01470/AT5G23060/AT4G34220/AT4G31940/AT1G05260/AT5G14420/AT3G52150/AT1G74520/AT1G10370/AT1G32080/AT4G20940/AT1G64660/AT1G73260/AT1G51400/AT3G29320/AT2G37040/AT5G40390/AT1G18390/AT4G14030/AT2G05620/AT4G26150/AT3G24500/AT2G26560/AT5G12020/AT1G62280/AT1G52690/AT1G30100/AT4G02280/AT4G18780/AT4G02520/AT3G12900/AT3G48090/AT1G02930/AT2G47180/AT2G20890	144	1041:PEG	BP
GO:0016053	organic acid biosynthetic process	112/2373	349/11210	8.87627288153627e-07	8.24126654911375e-05	7.13937769047121e-05	AT3G15850/AT3G61440/AT3G12120/AT4G32980/AT3G55610/AT1G09795/AT2G28630/AT4G25420/AT5G17920/AT4G24670/AT5G14060/AT5G05580/AT5G51830/AT2G20180/AT4G33950/AT3G09830/AT3G55360/AT5G05730/AT1G10070/AT4G25800/AT5G62470/AT3G47340/AT4G33680/AT5G26920/AT5G53460/AT3G06350/AT5G17990/AT2G26250/AT5G42650/AT5G25900/AT4G31500/AT2G46760/AT4G25050/AT1G16060/AT1G72520/AT5G03320/AT5G11540/AT4G02780/AT2G36690/AT4G14880/AT5G57580/AT1G76690/AT1G19440/AT2G03440/AT3G52430/AT1G08510/AT3G01120/AT1G52340/AT1G55020/AT5G10480/AT3G10050/AT2G18950/AT1G20510/AT3G55870/AT2G16280/AT1G04020/AT3G45140/AT5G52100/AT1G64670/AT4G23850/AT2G16370/AT1G10670/AT1G08250/AT1G08630/AT5G04530/AT3G56130/AT5G52920/AT1G68320/AT4G13430/AT4G13840/AT4G13930/AT1G75000/AT3G26744/AT3G48560/AT1G19250/AT5G40770/AT3G28910/AT3G14440/AT2G39770/AT3G14110/AT1G13580/AT5G43850/AT4G33510/AT1G80360/AT4G21200/AT1G79460/AT2G05990/AT5G35360/AT3G02870/AT1G25450/AT1G64660/AT3G58610/AT2G37040/AT5G46290/AT5G10160/AT2G26560/AT5G64370/AT5G15490/AT4G21070/AT4G37770/AT1G30100/AT4G18780/AT3G59970/AT4G30440/AT5G49460/AT1G31860/AT4G26850/AT2G26640/AT2G44810/AT1G11790/AT5G65640/AT1G24360	112	1041:PEG	BP
