gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC110941587	51.2141940523279	-0.587526437641845	0.390361129340208	-1.50508437823942	0.132302384766597	0.244249503506508
LOC110941595	478.161982222837	-0.749379411215518	0.253559389167361	-2.95543940879623	0.00312224018425425	0.0111587644682321
LOC110941601	5.01291954308242	-5.88200278149511	2.13015942622297	-2.76129697575012	0.00575722990788604	0.0188436674761828
LOC110941780	12.087423218742	-0.134835573181086	0.695268740484965	-0.193933029531913	0.846228320814062	0.906698608556134
LOC110941766	422.433280354323	-0.175064650828408	0.187099713191033	-0.935675677116957	0.349440197428923	0.503334929786016
LOC110941758	247.185620018393	1.48650034544809	0.315482434140056	4.71183237031881	2.45499288421243e-06	1.99428354350113e-05
LOC110941748	3785.45415226694	1.38423292337055	0.254327276447406	5.44272302486124	5.24722018361622e-08	5.97868133692619e-07
LOC110941257	3.35108898129216	-0.0406888402070081	1.19340640504946	-0.03409470573884	0.972801630240694	0.9843502127496
LOC110941739	304.22908503158	0.282163681111102	0.176139722389873	1.60193099706694	0.109170869124512	0.211112584565803
LOC118482131	5.96526373690018	0.944661738556035	1.0455648772452	0.903494139019842	0.366263697470493	0.520485184115005
LOC110941719	20308.9509242604	1.01783011639578	0.31021699685959	3.28102627096369	0.00103430110034921	0.00428738170136623
LOC110941708	6.07764566917738	0.153123419283693	1.06087979474694	0.144336257549537	0.885234948671699	0.932281309482959
LOC110941699	396.814310829951	-0.720191162244481	0.242336744024803	-2.97186118078227	0.00296000486667577	0.0106536292155513
LOC110941691	77.7338500700074	0.299484343365976	0.327379748671121	0.914791903230496	0.360300886214693	0.514410779174136
LOC110941681	154.803411483353	0.579499525275007	0.251446435426435	2.30466391099248	0.0211854035689808	0.056537714011565
LOC110942024	561.626205162684	0.234245221633689	0.180681972058192	1.29645043700456	0.194820345039205	0.327616928187601
LOC110941987	583.730548652026	-0.282776089410558	0.228314786944678	-1.2385360282384	0.215517371653476	0.353769683754643
LOC110941996	144.240598097554	-1.60897474248158	0.366550333372246	-4.38950560398919	1.13608650936367e-05	7.89530344170438e-05
LOC110941971	1015.95107857611	-1.11677390774325	0.179207597601067	-6.23173304420547	4.61303100455101e-10	7.58270955450978e-09
LOC110941957	250.417301590338	1.22734860843946	0.218939737456781	5.6058741217854	2.07206520115404e-08	2.5524238442659e-07
LOC110941951	35.9430436719653	-0.309180420261183	0.496704947043235	-0.6224629372058	0.533637507143178	0.676016616255287
