gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
LOC110894993	48.0195890665729	1.59012271999997	0.139689438232258	11.3832709195675	5.06631848196793e-30	2.21975677968943e-25
LOC110923271	20.3083000123525	1.93403757989171	0.207513593536082	9.32005246950447	1.16282782699668e-20	2.54740692060163e-16
LOC110896345	4.15755175710142	1.53688796981913	0.170470748535671	9.01555242187217	1.95880715253862e-19	2.8607725527109e-15
LOC110864319	1344.24909781618	-2.77274836340336	0.30956360211012	-8.95695858461106	3.33756993146231e-19	3.65580722442724e-15
LOC110918971	99.1762729821585	-1.3114542763205	0.147941900409406	-8.86465749521438	7.67396038063577e-19	6.72453800234351e-15
LOC110873387	88.13848975941	2.81438454750654	0.326658882601471	8.61566820131487	6.95348573062064e-18	5.07766706335688e-14
LOC110940396	21.1273825226497	1.45060791275407	0.178164311680754	8.14196681181222	3.88907868196467e-16	2.129951167145e-12
LOC110940447	1.86390241270579	2.12802021402936	0.264343074776388	8.05022115986768	8.26445588481758e-16	3.90961749910791e-12
LOC110899310	369.984338112214	1.00854662238686	0.125428177427269	8.04082976468087	8.92321518032571e-16	3.90961749910791e-12
LOC110871884	3.32423028434695	2.70891664635283	0.34543231002325	7.84210558117882	4.43053588031726e-15	1.49322691584785e-11
LOC110889114	1323.33162808419	1.61001447827911	0.205092666016468	7.8501806502912	4.15438424682474e-15	1.49322691584785e-11
LOC110917193	37.5625966468541	2.95567724556304	0.378066720757209	7.81787204026652	5.37237601571349e-15	1.68132344823194e-11
LOC110923286	39.312304270608	1.05173373478039	0.134884924510716	7.79726673381374	6.32624303737059e-15	1.84785341626237e-11
LOC110895190	85.3298478759065	1.06742123947386	0.138486213378122	7.70777981024997	1.28025386298701e-14	3.50581517205706e-11
LOC110865480	34.4097948486568	1.96494844500236	0.255793503953467	7.68177617739588	1.56897793125863e-14	4.04371759295091e-11
LOC110873884	116.174391648384	2.23030289775806	0.29379850385594	7.59126703671594	3.16792320371784e-14	7.30523090777333e-11
LOC110877846	14.2485314610094	-1.95799040162962	0.257887699920506	-7.59241484659088	3.13997831566844e-14	7.30523090777333e-11
LOC110939854	37.3789484617369	3.02362222983095	0.410353533113383	7.36833482799696	1.72772416117089e-13	3.60469078083529e-10
LOC110889977	85.1770775368323	2.12352081741326	0.28968185433397	7.33052756202355	2.29248475199435e-13	4.36708377929916e-10
LOC110923482	131.462429937104	1.48291237505186	0.203364182165096	7.29190538502987	3.05601759445855e-13	5.57901478681696e-10
LOC110871894	11.0852560899678	1.10779684528219	0.153497041974737	7.21705663529665	5.3124855985484e-13	8.95235553903076e-10
LOC110930420	50.1698357421661	-2.44932569446739	0.339883376753976	-7.20637095541254	5.74627280623301e-13	8.95823481759017e-10
LOC110912558	2.17924348336309	1.77225441994295	0.245946222562534	7.20586151508114	5.76780000649085e-13	8.95823481759017e-10
LOC110868139	40.1670472765695	1.39306265798803	0.193666832899727	7.19308844539893	6.33418804003654e-13	9.25087049287203e-10
LOC110866342	51.6599633176821	2.65781766288452	0.379587338942515	7.00186067925469	2.52585195861316e-12	3.35356599135385e-09
LOC110934693	87.0130658872426	-1.35757445483302	0.194209513012319	-6.99025724217181	2.74382678495693e-12	3.53582431635596e-09
LOC110887297	14.1667767802899	2.01487114203165	0.289417719007851	6.96180990209862	3.35928610504166e-12	4.08843781684154e-09
LOC110911345	61.0382206714174	1.13693148352734	0.16797924445974	6.76828549374641	1.30317415779138e-11	1.35945887022551e-08
LOC110917649	38.390446846298	2.73726039555297	0.407503573997775	6.71714451164031	1.85320161617797e-11	1.84536762752777e-08
LOC110884214	63.7483708911706	-1.06933802631053	0.15958052093145	-6.70093079073155	2.07096116047813e-11	2.01637982855975e-08
LOC110907517	3.84964140585971	-1.7106027555381	0.256861873451539	-6.65962111290461	2.74534393508993e-11	2.61488041678327e-08
LOC110884220	60.230224657325	-1.13215688215884	0.170202092675292	-6.65183878977765	2.89453655712846e-11	2.69832393008567e-08
LOC118483725	165.751670410316	-1.54117559164967	0.232103693596522	-6.64003044401687	3.13618369221228e-11	2.80426025082834e-08
LOC110923712	71.399988178218	1.17486184700595	0.177018575925813	6.6369410151527	3.202597278467e-11	2.80637194317507e-08
LOC110907034	30.8236669384611	-1.13585924242646	0.171242349193661	-6.63305104008995	3.28818042691081e-11	2.82486935734647e-08
LOC110909570	25.4862132499442	1.45956606077703	0.220459871155771	6.62055209016131	3.57859780994838e-11	3.01524393163612e-08
LOC110899292	25.5765444730297	1.32718309578801	0.200582074378412	6.61665854190032	3.67408808737341e-11	3.01750824158272e-08
LOC110904802	500.170103118465	1.56228305731131	0.238072471913843	6.562216306456	5.30138363643085e-11	4.00473832149278e-08
LOC110864647	539.851512625058	1.29248766327225	0.19807630064204	6.5252009406618	6.7910428848388e-11	4.79907666058592e-08
LOC110872687	254.314421573386	1.33701389094448	0.205166461605334	6.5167273465797	7.18578669043646e-11	4.99742949293307e-08
LOC110939684	29.2100050249604	-1.39536734865867	0.215079101116106	-6.4876937899485	8.71601949541086e-11	5.8751335103374e-08
LOC110927310	54.9298747079583	1.91494275840879	0.298511042189359	6.41498131648363	1.40840133239442e-10	9.1367948962954e-08
LOC110872068	107.627562644022	1.3597966178124	0.212079951588471	6.41171693801124	1.43889817830918e-10	9.1367948962954e-08
LOC110886159	28.2215009217473	1.02545841557616	0.159907071859102	6.41283968028454	1.42833705888846e-10	9.1367948962954e-08
LOC110878977	284.358723083356	1.03869603356602	0.162330987270093	6.3986306683258	1.56776545395956e-10	9.81286794282631e-08
LOC110874478	143.066886198858	1.36198247884374	0.213294447399963	6.38545679667783	1.70886585380744e-10	1.05453871153125e-07
LOC110881637	14.9901347731753	1.09569510720407	0.172093264257829	6.36686805802297	1.929269967582e-10	1.14228424810321e-07
LOC118484314	31.4114561592718	1.12998002049411	0.179071448056698	6.31021881353376	2.78641230348559e-10	1.57140358009689e-07
LOC118485889	6.87347083129776	-1.42780306811957	0.226274983263133	-6.31003501814067	2.78972339087147e-10	1.57140358009689e-07
LOC110904777	1216.63617903078	-1.14314422460577	0.181175260619979	-6.30960441670647	2.79749576043176e-10	1.57140358009689e-07
LOC110895534	30.5464383376118	1.26866857036945	0.201257426448199	6.30371058976047	2.90602903332638e-10	1.61170577298939e-07
LOC110939823	73.0186985704274	3.04591103370015	0.483953736417692	6.2938062143016	3.0977451212683e-10	1.67561240423764e-07
LOC110874169	27.0552748743463	2.35349320012129	0.374838217815902	6.27869061440578	3.41436248241258e-10	1.78912332887908e-07
LOC110864270	40.1687596980315	1.23207919408611	0.19635673062245	6.27469804666448	3.50313470467063e-10	1.80572169353458e-07
LOC110877534	19.9589876730437	1.09121873989405	0.174135057734882	6.26650804317307	3.6923432317797e-10	1.88112007392088e-07
LOC110922311	6.81758256860517	-1.26929668055317	0.203137837556032	-6.24845029278731	4.14545106528828e-10	1.99592080191803e-07
LOC110900226	15.2412574580644	1.22364984226449	0.196330597989109	6.2325987635018	4.58760124125759e-10	2.16130280413398e-07
LOC118491177	5316.26812455715	-1.03749099779987	0.168299971167244	-6.16453461402494	7.0690733245888e-10	3.19303483137664e-07
LOC118491249	327.378752406795	-2.89444287740796	0.471024220330869	-6.14499796926531	7.99645378193151e-10	3.52303774173528e-07
LOC110864377	438.135054542128	1.78570193286113	0.290635999280158	6.14411820037409	8.04089501468773e-10	3.52303774173528e-07
LOC118482728	9.11987744881726	1.09018143117473	0.177416961863781	6.14474185400468	8.0093665792948e-10	3.52303774173528e-07
LOC110922519	170.212137273251	1.40624521079897	0.230091700199023	6.11167290946436	9.85921004630588e-10	4.19389736862957e-07
LOC110937812	78.7173019543744	1.20458925762246	0.197295522363689	6.10550732825024	1.02474652579413e-09	4.31713887318694e-07
