gene_id	module_number	module_color	gene_name	subfamily	kME_12	kME_15	kME_26	kME_1	kME_4	kME_27	kME_18	kME_21	kME_2	kME_6	kME_23	kME_29	kME_19	kME_7	kME_8	kME_16	kME_9	kME_0	kME_14	kME_22	kME_24	kME_10	kME_28	kME_3	kME_5	kME_11	kME_13	kME_25	kME_17	kME_20	drought.GS_drought	drought.GS_pval_drought	cold.GS_cold	cold.GS_pval_cold	salt.GS_salt	salt.GS_pval_salt	control.GS_control	control.GS_pval_control	heat.GS_heat	heat.GS_pval_heat
LOC110864409	1	turquoise	aquaporin PIP1-3, transcript variant X2	PIP	-0.154770927912054	0.182893187428792	-0.137595499747942	0.482861911131887	0.169781576132162	0.221636083207996	-0.447345393709429	-0.204561102685347	-0.472266965491944	-0.311481471006441	-0.177837750260228	-0.180312084971084	-0.362145513219807	-0.598563896196801	-0.378140506834102	0.246660541899132	-0.00636437042706216	-0.0662533674828392	0.317040205836919	0.579241476853408	0.245886859775978	0.11013302374991	-0.065950039332694	0.434703634677484	-0.015412945839393	-0.392453916148098	-0.251869168001073	0.187734186887874	-0.549353721051519	0.0737961028503106	0.0483343913397858	0.767097873791597	-0.739882699022002	4.89270456548684e-08	-0.0722936552737986	0.657543345103953	0.168625305445572	0.298277883356591	0.321785763084017	0.0428850859262288
LOC110865440	1	turquoise	probable aquaporin SIP2-1	SIP	0.317730933055709	0.461529929852022	0.292234366038585	0.64972613403809	0.407829869719421	0.540087712878416	-0.273118164241134	-0.0699268668138796	-0.566800782251229	-0.248105804432803	-0.006619502581164	-0.140591054453468	-0.197247119852217	-0.162194630664929	-0.230232475848243	0.208100229652825	-0.292175049	-0.17992461640401	0.052952645357454	-0.112735373328539	-0.163175460107369	-0.475031565722364	-0.133376800107897	0.272045356328149	-0.239926424973346	-0.330124566285992	-0.557630440746154	-0.340443964939866	-0.380918515371817	-0.213363840425729	0.441955208090953	0.00430126887881796	-0.285603675470727	0.0740255688890351	-0.0111169748923896	0.945720022634035	-0.309103638432675	0.0522855220834804	-0.0860617718561078	0.597482680125061
LOC110866810	5	green	aquaporin PIP2-4	PIP	-0.110134990922046	0.0593151978360075	-0.252285075746105	0.0443848749102809	-0.537080663280362	-0.232253728884549	0.152536283434377	-0.369581573167354	-0.228615808351648	-0.672984511401635	-0.58793595369757	-0.122122744715351	-0.174490615602309	-0.131417280860172	-0.155078246582619	-0.010040508636177	-0.196929639868508	-0.556661145423829	0.560474093427178	0.163243776458374	0.0108216053495228	0.381905159040441	0.40259272029411	0.564326952426592	0.617493683267136	0.473453958166164	0.166301001209606	0.179896745661412	0.43711041533635	0.604155180055771	-0.0937137150247067	0.565175422678319	0.0516880585036806	0.751433547930315	-0.309546433011503	0.0519315581607114	-0.20273573940109	0.209612446363022	0.413835257576577	0.00794243719799008
LOC110868317	0	grey	aquaporin PIP2-4	PIP	-0.169935413100615	-0.469558482676549	-0.340442921797774	-0.46005515304884	-0.0955591068424502	-0.144858627064321	0.305886020577282	0.31899911819913	0.460629543602805	0.395269754531353	-0.0156933417511573	-0.0728140822804776	0.108817837522988	0.117016031930034	0.310909046808812	-0.0857525619834883	0.341358997532352	0.288420143551265	-0.248367804874329	0.112714242228423	0.0463000368779234	0.228999848807497	0.158267280235264	-0.371119097602398	-0.0329102040710959	-0.0719940319812639	0.515393741268965	0.446686866473413	0.222225284187403	0.08900745602609	-0.202458616818754	0.210249256555516	0.170450662137554	0.293001496517874	-0.0186930554930584	0.908852362154129	0.581749172680883	8.24476030080166e-05	-0.202927772641834	0.209171953206925
LOC110868318	0	grey	probable aquaporin PIP2-4	PIP	-0.000349670780681768	0.128803664910862	0.194433022762249	-0.123741269608569	-0.0760441290647431	-0.13210887502533	0.0678469666271733	0.0364005846832411	0.230889726964998	0.0858736242281056	0.301061727247805	0.382976363787507	0.187399962494948	0.156427414516549	-0.0988204160860561	-0.210374476530856	-0.0699463199868027	-0.00377413073071399	0.0896101152574892	0.0137916460889266	0.308181172567284	0.183244390762445	0.0582423004113999	-0.141357003630608	-0.0174047368557253	0.191002305883368	-0.0348238676405594	-0.146066992197999	0.0545088572095659	-0.117414075962824	-0.198820757902839	0.218733627681737	0.0798251050235541	0.624394444513109	0.0421363443302251	0.796285184172165	-0.139560416323764	0.390405084823245	0.187626846505686	0.246309774570043
LOC110868323	2	blue	probable aquaporin PIP2-4	PIP	-0.211509936579614	-0.179996497312763	-0.117355223369802	-0.659314657139428	-0.479720187227738	-0.279505714352187	0.592003324478888	0.305854569835466	0.658946660925475	0.164914292039211	0.220122326370208	0.474587199423869	0.0188881411837504	0.353362255973007	-0.0195075653026274	-0.554794450941919	0.0763291107472151	-0.0245593502231773	-0.185233930026766	-0.400583663043043	0.1950224306201	0.289896656363266	0.421290443497245	-0.227240492353464	0.333947565213748	0.522131098921839	0.308680345758148	0.141327979213127	0.406509134633534	-0.11811917851558	-0.526409773407486	0.00048460235174753	0.6086756488744	3.08338296663018e-05	-0.033052777798949	0.83954889332363	0.144299153567334	0.374352194925293	0.114564265400494	0.481485760906457
LOC110868334	10	purple	aquaporin PIP2-1	PIP	-0.135543162216226	-0.460081759100322	-0.365814573201996	-0.650727268641881	-0.383242421209758	-0.311843807189881	0.591378496588324	0.360763485971175	0.654768374489645	0.313806755891283	-0.0559556766020947	0.132763655405323	0.250287291721695	0.378983385843659	0.368398965141732	-0.252780709814402	0.206063889869048	0.0299976405548554	0.023724077127623	0.238201885106605	0.256663199371213	0.58660866822733	0.424462597076925	-0.38762927563777	0.171925678479014	0.184587230337383	0.757962602397038	0.319765883759098	0.676919899047091	0.405990724431592	-0.366120344713848	0.0201553260267254	0.494036649327342	0.0011956571099656	-0.242572000221467	0.131519092009566	0.398193023399458	0.0109357132927636	0.0515183773991882	0.752223797122105
LOC110868335	2	blue	aquaporin PIP2-4	PIP	-0.00231583792952771	-0.390606709870133	-0.263796583746313	-0.627663487482885	-0.197675595295487	-0.122008867713624	0.629823575069898	0.564432403217186	0.705814794785511	0.496816544596894	0.14655507250894	0.220682187508595	0.294005512997181	0.506042794086231	0.466528422704507	-0.329702980469576	0.150784465114468	0.0922498949735537	-0.149727236566571	0.124163036963637	0.304895259760723	0.418826046990063	0.277920591869355	-0.556026964388101	-0.0251422489135304	0.0178659647338323	0.620414645441244	0.188801773079658	0.570763890720671	0.20454873415031	-0.302533351567989	0.0577688281391579	0.567377808719821	0.000134631746403077	-0.190089638574635	0.240051036503977	0.369392508764705	0.01898603597069	-0.0740952010327485	0.649551899182542
LOC110868358	13	salmon	aquaporin PIP2-4	PIP	-0.216359851356345	-0.563994559552694	-0.462288907845357	-0.580466491277901	-0.312887083617869	-0.290103014551385	0.452940744825133	0.292877205626456	0.533746269186759	0.308514978221728	-0.188273578027414	-0.088263333665072	0.177616033709741	0.204321755471748	0.321677635643617	-0.0582572602528516	0.332007717420455	0.139866486849159	-0.0196513905324281	0.34838122573715	0.217011355795776	0.541145623613541	0.300141434286967	-0.330753313778112	0.144681683284176	0.0757625215396928	0.791293996343943	0.431829794583112	0.541395508670552	0.470188516936788	-0.309961297744186	0.0516016690901807	0.333274870868047	0.0355994541956271	-0.174174414026177	0.282425233215658	0.503690969607721	0.000921847436961796	-0.0252557736713203	0.877064930114114
LOC110868884	1	turquoise	probable aquaporin PIP2-5	PIP	0.477638421346308	0.777591772956075	0.404721802854665	0.845684202137073	0.220179502918376	0.383424502175096	-0.341447416429767	-0.419906354666613	-0.831770025338573	-0.65296760335108	-0.164515992097228	-0.00513604334062882	0.00860572220587486	-0.122723383536208	-0.201826456970701	0.0938687619394094	-0.69950454764975	-0.667906705946085	0.735083851773534	0.338361817917561	0.0885715090686589	-0.0829566110476898	0.0711943318262807	0.583991684495346	-0.0218057793095527	-0.223071710555025	-0.613643208699516	-0.453428386556994	-0.0938766144528702	0.163963190933405	0.54104746121731	0.000312470251647439	-0.377165601245106	0.0164346928490203	-0.46724606156269	0.00236796531139608	-0.454165038975802	0.00324247689937668	0.306873166116101	0.0540980795959539
