Gene	Subfamily	Chr	Contrasts (n/16)	Key Pattern
LOC110904457	PIP2-4	Ha14	8	Up in cold/Sclerotinia, down in drought/salt/Orobanche
LOC110916097	TIP-type	Ha16	8	Up in cold, down in drought/Sclerotinia/Orobanche
LOC110868335	PIP2-4	Ha7	7	Up in cold, down in drought/salt/Orobanche
LOC110868941	PIP1-4	Ha7	7	Up in cold, down in drought/salt/Orobanche
LOC110886572	TIP2-1	Ha10	7	Up in cold/Sclerotinia, down in drought/salt/Orobanche
LOC110908794	PIP2-2	Ha7	7	Up in cold, down in drought/salt/Orobanche
LOC110937328	PIP1-3	Ha2	7	Up in heat/Sclerotinia, down in drought/Orobanche
