gene_id	module_number	module_color	gene_name	subfamily	chromosome	protein_ids	kME_23	kME_2	kME_6	kME_20	kME_25	kME_17	kME_8	kME_21	kME_13	kME_5	kME_11	kME_7	kME_12	kME_3	kME_16	kME_14	kME_10	kME_19	kME_9	kME_0	kME_24	kME_26	kME_15	kME_22	kME_4	kME_1	kME_18	drought.GS_drought	drought.GS_pval_drought	cold.GS_cold	cold.GS_pval_cold	salt.GS_salt	salt.GS_pval_salt	control.GS_control	control.GS_pval_control	heat.GS_heat	heat.GS_pval_heat
LOC110875755	1	turquoise	aquaporin NIP1-1	NIP	Ha1	XP_021979651.1	0.160382854477843	-0.206858689338709	0.166987361613802	0.191280194306194	-0.471315891167553	0.739701613106826	0.425048345412146	0.411922205406772	0.0119000382065683	-0.0250141280135295	0.108379821767544	0.0380665989121949	-0.534805139468536	-0.00545379444727366	-0.436249744241497	-0.138453883500868	-0.119593964081659	0.374990953424057	-0.739945461006552	-0.575292498260326	-0.311933910051043	-0.00471869602267253	-0.405307840956812	-0.307814730720094	0.13067917069398	0.286196315802746	0.122229945558606	0.284989529801639	0.074676556361334	0.323196009754957	0.041930499483185	-0.427756243500202	0.00589997562665106	-0.430838108912077	0.00551500697506878	0.124527649087103	0.443917274203778
LOC110875737	4	yellow	probable aquaporin TIP1-1	TIP	Ha1	XP_021979635.1	-0.58982515940529	-0.869343803489491	-0.698234037232383	-0.485256904532845	-0.673969633768085	0.00354200290701935	-0.0730874672181857	-0.180743059796786	-0.185815025000218	-0.313841019375051	0.295303350830699	-0.408618541283126	-0.459692277818223	0.233934586764498	0.174976498124329	-0.440639171379415	0.160956074227729	0.559880144186392	-0.364389910938173	-0.413022330011979	0.271538105316004	0.347194351544452	0.446726932325806	0.546103652245472	0.864372523534751	0.796288658504375	0.61577902764138	0.558432517863084	0.000180640974923517	-0.565391094830588	0.000143819833413396	-0.0963137997165058	0.554384281730728	-0.540804841825306	0.00031480295779707	0.148831172291685	0.359372354910284
LOC110875557	7	black	aquaporin PIP2-2	PIP	Ha1	XP_021979449.1	0.131591534191976	0.215308053333371	-0.0479175772743659	0.482593821576378	0.259122705913232	0.226189246891987	-0.459522717088215	-0.00603945174671187	-0.498319002888006	-0.643714086999749	-0.787465532829558	0.866056014964104	0.549734535142362	0.636535407813723	0.352674333612977	0.612136431289003	0.598631127904105	0.4210720450994	-0.098952621358449	-0.283594253371221	-0.0712124285462395	-0.446965613210993	-0.350549054622775	-0.185098877564906	-0.129089858012873	-0.577367701058791	-0.451043153123554	-0.622870374776922	1.76907836813212e-05	0.116395840627297	0.474457490373787	-0.150096937095272	0.355254102347121	-0.129145003766813	0.42706808803872	0.714333010679989	2.26232260402125e-07
LOC110878958	23	darkturquoise	aquaporin SIP1-1	SIP	Ha1	XP_021983051.1	0.779919574736779	0.451296264057506	0.577640791591206	0.757564352683226	0.372038704426937	0.659676445776192	0.293238423447923	0.196665927049041	0.121232380984657	0.00942582351586794	-0.293406006552358	0.440510196197075	0.0390270360008123	0.0599820100231861	-0.423714544774434	0.445098439373523	0.0682649448425364	0.164771399348627	-0.388612061479972	-0.429778160567641	-0.289279892081028	-0.218070835485631	-0.704511069489608	-0.746690584598167	-0.41839737332749	-0.428791895984621	-0.219966759635131	-0.279460346290296	0.0807414689499808	0.685360640174703	1.06501331493897e-06	-0.490467783671734	0.00131380831059674	0.068233248194009	0.675692080420772	0.239477064646116	0.136668766280636
LOC110937325	22	darkgreen	aquaporin PIP1-3	PIP	Ha2	XP_022035417.1	-0.365677496486248	-0.515163940034767	-0.415439949251866	0.160978286673527	0.187973578519549	-0.124016457811616	-0.149260871584986	-0.19244692018043	0.0496017812979447	-0.430896292623401	-0.228547364517738	-0.051572259334974	0.0987539040268047	0.368237282864762	0.326952815297165	0.0532798494233374	0.609371484241893	0.534883455577965	0.0313032275950465	-0.325657902302529	-0.0347318164182755	-0.205659448212492	0.52418142672451	0.511063310460837	0.494347977515883	0.248025800143122	0.630021930331358	0.242173376004993	0.132174141494568	-0.349364289420327	0.0271290157968171	-0.25635123098933	0.110331068431117	-0.0345388646601624	0.832435380687898	0.1808301496701	0.264147998974284
LOC110937328	1	turquoise	aquaporin PIP1-3	PIP	Ha2	XP_022035419.1	-0.272763547695809	-0.619802255368179	-0.249564492650693	-0.0418859819991154	-0.348949138710977	0.160249337333121	0.218635975720129	0.0420701156931516	0.111232341406945	-0.175490003149547	0.111255300950516	-0.253447398052511	-0.418552412610469	0.104398267821514	-0.0247666209843554	-0.436952898063087	0.0423964427039367	0.405892411332102	-0.316332747914112	-0.414194101204744	-0.1714150711992	-0.0262503637271974	0.4010890354114	0.216370807114116	0.529136625912595	0.603028749622672	0.721851173910015	0.538439378129665	0.000338379098401266	-0.0549415663897018	0.736330363339498	-0.228910201729157	0.15537717536681	-0.315528715309727	0.0473353049805956	-0.12845272690438	0.429571224973174
LOC110906934	0	grey	aquaporin PIP2-1	PIP	Ha2	XP_022007682.2	-0.146247290344946	-0.127096543057201	-0.0332477889154353	-0.16538304180278	-0.0976396447706069	-0.0217873087254603	0.244093383103247	0.148764035313311	0.242747793741046	0.245408821094227	0.317351865895072	-0.388015146450167	-0.295469782074098	-0.292174067075118	-0.193707893131926	-0.183937647686139	-0.0808027074710155	-0.0240188593143826	-0.0260630296574533	0.0540439636225947	-0.000595569993680037	0.284728380282477	0.193344203913943	0.246322295844861	0.131669843333662	0.34794917910429	0.264715643895132	0.367336525558944	0.0197138797700919	-0.175518442419758	0.278669718690077	-0.084927813986388	0.602338046027144	0.170141501594243	0.293890900577833	-0.27812921702534	0.0822573755362335
LOC110927047	17	grey60	aquaporin TIP1-1	TIP	Ha2	XP_022026331.1	0.529113751835123	0.0806893904000197	0.363975947210873	0.619678837968841	-0.000954959035820719	0.729738326570373	0.265179661149246	0.327156078152112	-0.184218352494979	-0.15783650968082	-0.284281165312464	0.382837758363407	-0.145072436068306	0.170165038922511	-0.306958918500453	0.177228419003675	0.0663055779609145	0.369848985947942	-0.520985643264348	-0.564362274958753	-0.345462469673721	-0.238775630882225	-0.461647420873349	-0.540069547699318	-0.125680826113697	-0.128740349814131	0.0217229855762344	-0.0795278745554845	0.625689484470515	0.616603526618027	2.26839709886934e-05	-0.419607380309609	0.00703176619827922	-0.376453847916379	0.0166555995761623	0.273955022471573	0.0871549316336571
LOC110930503	9	magenta	aquaporin PIP1-3	PIP	Ha3	XP_022029508.1	-0.43500901154274	0.136600285455078	-0.0687082717255985	0.0931944067273573	0.43765402834397	-0.509213659538635	-0.29904771668137	0.124767409209632	-0.110590702028717	-0.132234850165117	-0.383914568128687	0.199283035385014	0.440057376278855	0.0406343731360686	0.405380847549238	0.125845687071067	0.295548272931595	-0.189284279050138	0.656263249430714	0.446201046110294	-0.249332357933003	-0.468582100232864	0.569534350792209	0.432439322498426	-0.196083890887671	-0.263483905674361	0.0169680300173216	-0.199590160850658	0.216919810091587	-0.196654179245458	0.223897283472405	0.458179401955849	0.00294814919768732	-0.082338360757462	0.613488936197012	-0.0188901992047641	0.907895174873755
LOC110930648	0	grey	probable aquaporin TIP-type	TIP	Ha3	XP_022029689.1	0.204282222322581	0.282529602072932	0.333243884967363	0.497011211808392	0.103712199424526	0.566242091454273	0.290320991749122	0.46496316481329	0.0233826860070017	0.095578297322503	-0.0676007298734821	0.140300785079222	-0.152530467098739	-0.145417497597009	-0.417759876695849	0.503220847749387	0.296650685599417	0.266118500518423	-0.336269794066293	-0.287214907055052	-0.273717594348108	-0.0239527608172496	-0.444647584096099	-0.109527729195884	-0.244480071928912	-0.144159055339942	-0.0409964269577759	-0.0957045226033089	0.556904264266536	0.236417456782561	0.141904970478102	-0.421782107419212	0.00671279479342611	0.00982820325815646	0.952004837209669	0.287657673619085	0.0718806487166832
