kME	gene_id	is_aquaporin	module
-0.749287808384089	LOC110898549	FALSE	grey
-0.749087406292856	LOC110876399	FALSE	grey
0.749006267360758	LOC110899322	FALSE	grey
-0.74895190579949	LOC110865717	FALSE	grey
-0.74647383239759	LOC110915472	FALSE	grey
-0.746314666796467	LOC110911424	FALSE	grey
0.746044659545891	LOC110942425	FALSE	grey
0.739877786176573	LOC110909039	FALSE	grey
0.945251220904494	LOC110900083	FALSE	grey60
0.934462056351456	LOC110894515	FALSE	grey60
0.920806175738241	LOC110926186	FALSE	grey60
0.910387749493874	LOC110930516	FALSE	grey60
0.901454238473701	LOC110869194	FALSE	grey60
0.900725333746269	LOC110926501	FALSE	grey60
0.897571682850885	LOC110889419	FALSE	grey60
0.892627565975897	LOC110894692	FALSE	grey60
0.892324771662779	LOC110929055	FALSE	grey60
0.886837905028115	LOC110936772	FALSE	grey60
0.885638362584096	LOC110865110	FALSE	grey60
0.88509487006101	LOC110908188	FALSE	grey60
0.883994919377047	LOC110922904	FALSE	grey60
0.882166279414597	LOC110884333	FALSE	grey60
0.87958720146883	LOC110909317	FALSE	grey60
0.871260696810689	LOC110938160	FALSE	grey60
0.870393727077588	LOC110939712	FALSE	grey60
0.869099573374238	LOC110924947	FALSE	grey60
0.865959311592593	LOC110912916	FALSE	grey60
0.865675290795906	LOC110885959	FALSE	grey60
0.966318290076113	LOC110907517	FALSE	magenta
0.959405137698138	LOC110921464	FALSE	magenta
0.954007386541925	LOC110864942	FALSE	magenta
0.952315620034269	LOC110922475	FALSE	magenta
0.949327741747144	LOC110930776	FALSE	magenta
0.945100750056533	LOC110883328	FALSE	magenta
0.944665802762029	LOC110941353	FALSE	magenta
0.942871096987209	LOC110867930	FALSE	magenta
0.937814577161092	LOC110873074	FALSE	magenta
0.933485120240959	LOC110864319	FALSE	magenta
0.931074804187276	LOC110873703	FALSE	magenta
0.930369426267649	LOC110920509	FALSE	magenta
0.929068510551859	LOC110883321	FALSE	magenta
0.927210100458616	LOC110875682	FALSE	magenta
0.926822998980261	LOC110879927	FALSE	magenta
0.92257101877702	LOC110864405	FALSE	magenta
0.919476326993595	LOC110927034	FALSE	magenta
0.91880253730612	LOC110899834	FALSE	magenta
0.918527567090329	LOC110941781	FALSE	magenta
0.916298486267448	LOC110895861	FALSE	magenta
0.96770222465436	LOC110891027	FALSE	greenyellow
0.965881979069897	LOC110940596	FALSE	greenyellow
0.960907048331288	LOC110890873	FALSE	greenyellow
0.959091332585345	LOC110867599	FALSE	greenyellow
0.952702291995044	LOC110871912	FALSE	greenyellow
0.949833124252901	LOC110904168	FALSE	greenyellow
0.949265507090743	LOC110879422	FALSE	greenyellow
0.947834761191323	LOC110878371	FALSE	greenyellow
0.947097540060236	LOC110884498	FALSE	greenyellow
0.942842275814565	LOC110912548	FALSE	greenyellow
0.941290504928044	LOC110868665	FALSE	greenyellow
0.93452787958829	LOC110940085	FALSE	greenyellow
0.933197807519445	LOC110944054	FALSE	greenyellow
0.93258503239254	LOC110867693	FALSE	greenyellow
0.932427053414046	LOC110864768	FALSE	greenyellow
0.932298783249224	LOC110915881	FALSE	greenyellow
0.930974060625761	LOC110895478	FALSE	greenyellow
0.930426279813672	LOC110894351	FALSE	greenyellow
0.930188696484934	LOC110940779	FALSE	greenyellow
0.929849992042662	LOC110864424	FALSE	greenyellow
0.975579462384814	LOC110884358	FALSE	brown
0.969126450701329	LOC110936956	FALSE	brown
0.968954567646459	LOC110895930	FALSE	brown
0.96866940789225	LOC110941058	FALSE	brown
0.967579066558394	LOC118492549	FALSE	brown
0.965387817792647	LOC110897892	FALSE	brown
0.9603572252318	LOC110918485	FALSE	brown
0.95980937562714	LOC110904287	FALSE	brown
0.959471597919039	LOC110890151	FALSE	brown
0.959305479760229	LOC110871641	FALSE	brown
0.958793595729616	LOC110916431	FALSE	brown
0.957498836057121	LOC110922410	FALSE	brown
0.956891873619579	LOC110895998	FALSE	brown
0.956620622078743	LOC110885863	FALSE	brown
0.955998898299193	LOC110879789	FALSE	brown
0.954155986460845	LOC110871562	FALSE	brown
0.954031507933728	LOC110905129	FALSE	brown
0.950015811381078	LOC110879344	FALSE	brown
0.949735723915145	LOC110879555	FALSE	brown
0.949535591558554	LOC110899220	FALSE	brown
0.953373611437264	LOC110908550	FALSE	red
0.950640396859918	LOC110878248	FALSE	red
0.944114234537302	LOC110899685	FALSE	red
0.943410154211058	LOC110894215	FALSE	red
0.938917724694556	LOC110911143	FALSE	red
0.937436401814814	LOC110910912	FALSE	red
0.936840049391454	LOC110890359	FALSE	red
0.935066562915106	LOC110930364	FALSE	red
0.933286154226319	LOC110898026	FALSE	red
0.933106994110493	LOC110864512	FALSE	red
